species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass2_g,has_offspring,health_status,tested_positive,cluster
Adelie,Dream,36.3,19.5,190,3800,male,2008,3902,FALSE,good,FALSE,29
Adelie,Dream,36.9,18.6,189,3500,female,2008,3549,FALSE,good,FALSE,21
Adelie,Dream,38.3,19.2,189,3950,male,2008,4127,TRUE,poor,FALSE,28
Adelie,Dream,38.9,18.8,190,3600,female,2008,3535,TRUE,fair,FALSE,24
Adelie,Dream,35.7,18,202,3550,female,2008,3302,TRUE,good,FALSE,14
Adelie,Dream,41.1,18.1,205,4300,male,2008,4035,TRUE,good,FALSE,16
Adelie,Dream,34,17.1,185,3400,female,2008,3310,TRUE,good,FALSE,6
Adelie,Dream,39.6,18.1,186,4450,male,2008,4296,TRUE,good,FALSE,16
Adelie,Dream,36.2,17.3,187,3300,female,2008,3186,TRUE,fair,FALSE,8
Adelie,Dream,40.8,18.9,208,4300,male,2008,4057,FALSE,good,FALSE,25
Adelie,Dream,38.1,18.6,190,3700,female,2008,3533,TRUE,good,FALSE,21
Adelie,Dream,40.3,18.5,196,4350,male,2008,4189,TRUE,good,FALSE,19
Adelie,Dream,33.1,16.1,178,2900,female,2008,3042,TRUE,fair,FALSE,1
Adelie,Dream,43.2,18.5,192,4100,male,2008,4182,TRUE,fair,FALSE,19
Adelie,Biscoe,35,17.9,192,3725,female,2009,3507,TRUE,good,FALSE,13
Adelie,Biscoe,41,20,203,4725,male,2009,4538,TRUE,good,FALSE,31
Adelie,Biscoe,37.7,16,183,3075,female,2009,3011,TRUE,good,TRUE,1
Adelie,Biscoe,37.8,20,190,4250,male,2009,4183,TRUE,good,FALSE,31
Adelie,Biscoe,37.9,18.6,193,2925,female,2009,2886,TRUE,fair,FALSE,22
Adelie,Biscoe,39.7,18.9,184,3550,male,2009,3610,FALSE,good,FALSE,25
Adelie,Biscoe,38.6,17.2,199,3750,female,2009,3529,TRUE,fair,FALSE,8
Adelie,Biscoe,38.2,20,190,3900,male,2009,3749,TRUE,poor,FALSE,31
Adelie,Biscoe,38.1,17,181,3175,female,2009,2972,TRUE,good,TRUE,5
Adelie,Biscoe,43.2,19,197,4775,male,2009,4817,FALSE,good,FALSE,26
Adelie,Biscoe,38.1,16.5,198,3825,female,2009,3752,FALSE,good,FALSE,2
Adelie,Biscoe,45.6,20.3,191,4600,male,2009,4615,TRUE,fair,FALSE,32
Adelie,Biscoe,39.7,17.7,193,3200,female,2009,3153,TRUE,fair,FALSE,11
Adelie,Biscoe,42.2,19.5,197,4275,male,2009,3946,FALSE,fair,FALSE,29
Adelie,Biscoe,39.6,20.7,191,3900,female,2009,3679,TRUE,good,FALSE,33
Adelie,Biscoe,42.7,18.3,196,4075,male,2009,3889,TRUE,good,FALSE,17
Adelie,Torgersen,38.6,17,188,2900,female,2009,2904,TRUE,fair,FALSE,5
Adelie,Torgersen,37.3,20.5,199,3775,male,2009,3491,FALSE,good,FALSE,32
Adelie,Torgersen,35.7,17,189,3350,female,2009,3154,TRUE,good,FALSE,5
Adelie,Torgersen,41.1,18.6,189,3325,male,2009,3131,TRUE,fair,FALSE,22
Adelie,Torgersen,36.2,17.2,187,3150,female,2009,2958,TRUE,good,FALSE,8
Adelie,Torgersen,37.7,19.8,198,3500,male,2009,3402,TRUE,good,FALSE,30
Adelie,Torgersen,40.2,17,176,3450,female,2009,3353,TRUE,poor,FALSE,5
Adelie,Torgersen,41.4,18.5,202,3875,male,2009,3864,TRUE,good,FALSE,20
Adelie,Torgersen,35.2,15.9,186,3050,female,2009,2986,TRUE,good,FALSE,1
Adelie,Torgersen,40.6,19,199,4000,male,2009,3788,FALSE,good,FALSE,26
Adelie,Torgersen,38.8,17.6,191,3275,female,2009,3132,TRUE,good,FALSE,10
Adelie,Torgersen,41.5,18.3,195,4300,male,2009,4186,FALSE,fair,FALSE,17
Adelie,Torgersen,39,17.1,191,3050,female,2009,2996,TRUE,poor,FALSE,6
Adelie,Torgersen,44.1,18,210,4000,male,2009,3873,TRUE,good,FALSE,15
Adelie,Torgersen,38.5,17.9,190,3325,female,2009,3154,FALSE,good,FALSE,13
Adelie,Torgersen,43.1,19.2,197,3500,male,2009,3553,TRUE,good,FALSE,28
Adelie,Dream,36.8,18.5,193,3500,female,2009,3285,TRUE,good,FALSE,20
Adelie,Dream,37.5,18.5,199,4475,male,2009,4365,FALSE,good,FALSE,20
Adelie,Dream,38.1,17.6,187,3425,female,2009,3272,FALSE,fair,TRUE,10
Adelie,Dream,41.1,17.5,190,3900,male,2009,3857,TRUE,fair,FALSE,9
Adelie,Dream,35.6,17.5,191,3175,female,2009,3082,TRUE,fair,FALSE,10
Adelie,Dream,40.2,20.1,200,3975,male,2009,3667,FALSE,good,TRUE,31
Adelie,Dream,37,16.5,185,3400,female,2009,3269,FALSE,fair,FALSE,2
Adelie,Dream,39.7,17.9,193,4250,male,2009,4156,TRUE,good,FALSE,13
Adelie,Dream,40.2,17.1,193,3400,female,2009,3515,TRUE,good,FALSE,7
Adelie,Dream,40.6,17.2,187,3475,male,2009,3227,TRUE,fair,FALSE,8
Adelie,Dream,32.1,15.5,188,3050,female,2009,2913,TRUE,good,FALSE,1
Adelie,Dream,40.7,17,190,3725,male,2009,3469,TRUE,fair,FALSE,6
Adelie,Dream,37.3,16.8,192,3000,female,2009,2896,TRUE,poor,FALSE,3
Adelie,Dream,39,18.7,185,3650,male,2009,3694,TRUE,good,FALSE,23
Adelie,Dream,39.2,18.6,190,4250,male,2009,4148,FALSE,good,FALSE,22
Adelie,Dream,36.6,18.4,184,3475,female,2009,3250,FALSE,fair,FALSE,18
Adelie,Dream,36,17.8,195,3450,female,2009,3233,FALSE,fair,FALSE,12
Adelie,Dream,37.8,18.1,193,3750,male,2009,3920,FALSE,good,FALSE,16
Adelie,Dream,36,17.1,187,3700,female,2009,3744,TRUE,good,FALSE,7
Adelie,Dream,41.5,18.5,201,4000,male,2009,3594,TRUE,fair,FALSE,20
Gentoo,Biscoe,46.1,13.2,211,4500,female,2007,4642,FALSE,poor,FALSE,59
Gentoo,Biscoe,50,16.3,230,5700,male,2007,5534,TRUE,good,FALSE,54
Gentoo,Biscoe,48.7,14.1,210,4450,female,2007,4205,TRUE,good,FALSE,64
Gentoo,Biscoe,50,15.2,218,5700,male,2007,5761,TRUE,fair,FALSE,45
Gentoo,Biscoe,47.6,14.5,215,5400,male,2007,5034,TRUE,fair,FALSE,68
Gentoo,Biscoe,46.5,13.5,210,4550,female,2007,4513,TRUE,good,FALSE,60
Gentoo,Biscoe,45.4,14.6,211,4800,female,2007,4865,TRUE,fair,FALSE,70
Gentoo,Biscoe,46.7,15.3,219,5200,male,2007,5089,TRUE,good,FALSE,46
Gentoo,Biscoe,43.3,13.4,209,4400,female,2007,4431,FALSE,fair,FALSE,60
Gentoo,Biscoe,46.8,15.4,215,5150,male,2007,4899,TRUE,poor,TRUE,47
Gentoo,Biscoe,40.9,13.7,214,4650,female,2007,4534,TRUE,good,FALSE,60
Gentoo,Biscoe,49,16.1,216,5550,male,2007,5432,TRUE,good,FALSE,52
Gentoo,Biscoe,45.5,13.7,214,4650,female,2007,4563,TRUE,good,FALSE,61
Gentoo,Biscoe,48.4,14.6,213,5850,male,2007,5723,TRUE,good,TRUE,70
Gentoo,Biscoe,45.8,14.6,210,4200,female,2007,3962,TRUE,good,FALSE,70
Gentoo,Biscoe,49.3,15.7,217,5850,male,2007,5606,TRUE,good,FALSE,48
Gentoo,Biscoe,42,13.5,210,4150,female,2007,3954,TRUE,good,FALSE,60
Gentoo,Biscoe,49.2,15.2,221,6300,male,2007,6208,TRUE,fair,FALSE,45
Gentoo,Biscoe,46.2,14.5,209,4800,female,2007,4606,FALSE,good,FALSE,68
Gentoo,Biscoe,48.7,15.1,222,5350,male,2007,5317,TRUE,fair,FALSE,45
Gentoo,Biscoe,50.2,14.3,218,5700,male,2007,5525,TRUE,poor,FALSE,66
Gentoo,Biscoe,45.1,14.5,215,5000,female,2007,5035,TRUE,good,FALSE,69
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007,4122,TRUE,fair,FALSE,69
Gentoo,Biscoe,46.3,15.8,215,5050,male,2007,4934,TRUE,fair,FALSE,50
Gentoo,Biscoe,42.9,13.1,215,5000,female,2007,4875,FALSE,good,FALSE,59
Gentoo,Biscoe,46.1,15.1,215,5100,male,2007,5164,FALSE,good,FALSE,45
Gentoo,Biscoe,44.5,14.3,216,4100,NA,2007,3864,TRUE,fair,FALSE,66
Gentoo,Biscoe,47.8,15,215,5650,male,2007,5343,TRUE,fair,TRUE,42
Gentoo,Biscoe,48.2,14.3,210,4600,female,2007,4357,FALSE,good,FALSE,66
Gentoo,Biscoe,50,15.3,220,5550,male,2007,5434,FALSE,good,FALSE,46
Gentoo,Biscoe,47.3,15.3,222,5250,male,2007,4905,TRUE,good,FALSE,47
Gentoo,Biscoe,42.8,14.2,209,4700,female,2007,4453,FALSE,good,FALSE,65
Gentoo,Biscoe,45.1,14.5,207,5050,female,2007,5045,FALSE,poor,FALSE,69
Gentoo,Biscoe,59.6,17,230,6050,male,2007,6010,TRUE,fair,FALSE,55
Gentoo,Biscoe,49.1,14.8,220,5150,female,2008,5006,TRUE,good,FALSE,41
Gentoo,Biscoe,48.4,16.3,220,5400,male,2008,5370,FALSE,good,FALSE,54
Gentoo,Biscoe,42.6,13.7,213,4950,female,2008,4645,FALSE,good,FALSE,61
Gentoo,Biscoe,44.4,17.3,219,5250,male,2008,5057,FALSE,good,TRUE,56
Gentoo,Biscoe,44,13.6,208,4350,female,2008,4155,TRUE,poor,TRUE,60
Gentoo,Biscoe,48.7,15.7,208,5350,male,2008,5283,TRUE,good,FALSE,49
Gentoo,Biscoe,42.7,13.7,208,3950,female,2008,3694,TRUE,fair,FALSE,61
Gentoo,Biscoe,49.6,16,225,5700,male,2008,5612,TRUE,good,FALSE,51
Gentoo,Biscoe,45.3,13.7,210,4300,female,2008,4234,TRUE,good,FALSE,61
Gentoo,Biscoe,49.6,15,216,4750,male,2008,4773,TRUE,good,FALSE,42
Gentoo,Biscoe,50.5,15.9,222,5550,male,2008,5283,FALSE,fair,FALSE,50
Gentoo,Biscoe,43.6,13.9,217,4900,female,2008,4894,FALSE,good,FALSE,62
Gentoo,Biscoe,45.5,13.9,210,4200,female,2008,3986,FALSE,fair,FALSE,63
Gentoo,Biscoe,50.5,15.9,225,5400,male,2008,5430,TRUE,good,FALSE,51
Gentoo,Biscoe,44.9,13.3,213,5100,female,2008,4952,TRUE,fair,FALSE,59
Gentoo,Biscoe,45.2,15.8,215,5300,male,2008,5008,TRUE,good,FALSE,50
Gentoo,Biscoe,46.6,14.2,210,4850,female,2008,4750,TRUE,good,FALSE,65
Gentoo,Biscoe,48.5,14.1,220,5300,male,2008,5176,TRUE,fair,TRUE,64
Gentoo,Biscoe,45.1,14.4,210,4400,female,2008,4367,TRUE,good,FALSE,67
Gentoo,Biscoe,50.1,15,225,5000,male,2008,4821,TRUE,good,FALSE,43
Gentoo,Biscoe,46.5,14.4,217,4900,female,2008,4787,TRUE,fair,FALSE,67
Gentoo,Biscoe,45,15.4,220,5050,male,2008,5015,TRUE,fair,FALSE,47
Gentoo,Biscoe,43.8,13.9,208,4300,female,2008,4332,TRUE,fair,FALSE,63
Gentoo,Biscoe,45.5,15,220,5000,male,2008,4955,TRUE,good,FALSE,43
Gentoo,Biscoe,43.2,14.5,208,4450,female,2008,4416,TRUE,good,FALSE,69
Gentoo,Biscoe,50.4,15.3,224,5550,male,2008,5685,TRUE,good,FALSE,47
Gentoo,Biscoe,45.3,13.8,208,4200,female,2008,4166,TRUE,fair,FALSE,62
Gentoo,Biscoe,46.2,14.9,221,5300,male,2008,5311,TRUE,good,FALSE,42
Gentoo,Biscoe,45.7,13.9,214,4400,female,2008,4239,FALSE,good,FALSE,63
Gentoo,Biscoe,54.3,15.7,231,5650,male,2008,5477,TRUE,fair,FALSE,49
Gentoo,Biscoe,45.8,14.2,219,4700,female,2008,4748,TRUE,good,FALSE,65
Gentoo,Biscoe,49.8,16.8,230,5700,male,2008,5455,TRUE,good,FALSE,55
Gentoo,Biscoe,46.2,14.4,214,4650,NA,2008,4686,TRUE,fair,FALSE,67
Gentoo,Biscoe,49.5,16.2,229,5800,male,2008,5719,TRUE,good,FALSE,53
Gentoo,Biscoe,43.5,14.2,220,4700,female,2008,4424,FALSE,fair,FALSE,65
Gentoo,Biscoe,50.7,15,223,5550,male,2008,5344,TRUE,good,FALSE,43
Gentoo,Biscoe,47.7,15,216,4750,female,2008,4645,TRUE,good,FALSE,43
Gentoo,Biscoe,46.4,15.6,221,5000,male,2008,4994,FALSE,fair,FALSE,48
Gentoo,Biscoe,48.2,15.6,221,5100,male,2008,4904,FALSE,fair,TRUE,48
Gentoo,Biscoe,46.5,14.8,217,5200,female,2008,5013,TRUE,good,FALSE,42
Gentoo,Biscoe,46.4,15,216,4700,female,2008,4541,FALSE,good,TRUE,44
Gentoo,Biscoe,48.6,16,230,5800,male,2008,5517,FALSE,fair,TRUE,52
Gentoo,Biscoe,47.5,14.2,209,4600,female,2008,4515,TRUE,good,FALSE,66
Gentoo,Biscoe,51.1,16.3,220,6000,male,2008,5803,TRUE,fair,FALSE,54
Gentoo,Biscoe,45.2,13.8,215,4750,female,2008,4524,TRUE,fair,TRUE,62
Gentoo,Biscoe,45.2,16.4,223,5950,male,2008,5770,TRUE,poor,FALSE,54
Gentoo,Biscoe,49.1,14.5,212,4625,female,2009,4519,TRUE,fair,FALSE,70
Gentoo,Biscoe,52.5,15.6,221,5450,male,2009,5265,TRUE,good,FALSE,48
Gentoo,Biscoe,47.4,14.6,212,4725,female,2009,4583,TRUE,fair,FALSE,41
Gentoo,Biscoe,50,15.9,224,5350,male,2009,5085,TRUE,fair,FALSE,51
Gentoo,Biscoe,44.9,13.8,212,4750,female,2009,4747,TRUE,good,FALSE,62
Gentoo,Biscoe,50.8,17.3,228,5600,male,2009,5471,TRUE,poor,FALSE,56
Gentoo,Biscoe,43.4,14.4,218,4600,female,2009,4130,TRUE,poor,FALSE,68
Gentoo,Biscoe,51.3,14.2,218,5300,male,2009,5272,FALSE,good,FALSE,66
Gentoo,Biscoe,47.5,14,212,4875,female,2009,4573,FALSE,good,FALSE,63
Gentoo,Biscoe,52.1,17,230,5550,male,2009,5317,TRUE,good,FALSE,55
Gentoo,Biscoe,47.5,15,218,4950,female,2009,4834,TRUE,good,FALSE,44
Gentoo,Biscoe,52.2,17.1,228,5400,male,2009,5245,TRUE,good,TRUE,56
Gentoo,Biscoe,45.5,14.5,212,4750,female,2009,4614,FALSE,fair,FALSE,70
Gentoo,Biscoe,49.5,16.1,224,5650,male,2009,5400,TRUE,fair,FALSE,52
Gentoo,Biscoe,44.5,14.7,214,4850,female,2009,4744,FALSE,good,FALSE,41
Gentoo,Biscoe,50.8,15.7,226,5200,male,2009,4807,TRUE,fair,FALSE,49
Gentoo,Biscoe,49.4,15.8,216,4925,male,2009,4766,FALSE,good,FALSE,50
Gentoo,Biscoe,46.9,14.6,222,4875,female,2009,4903,TRUE,poor,FALSE,41
Gentoo,Biscoe,48.4,14.4,203,4625,female,2009,4868,TRUE,good,FALSE,68
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009,4807,TRUE,fair,FALSE,55
Gentoo,Biscoe,48.5,15,219,4850,female,2009,4676,FALSE,fair,FALSE,44
Gentoo,Biscoe,55.9,17,228,5600,male,2009,5527,TRUE,good,FALSE,55
Gentoo,Biscoe,47.2,15.5,215,4975,female,2009,4659,FALSE,good,TRUE,48
Gentoo,Biscoe,49.1,15,228,5500,male,2009,5534,TRUE,fair,FALSE,44
Gentoo,Biscoe,47.3,13.8,216,4725,NA,2009,4496,TRUE,fair,FALSE,62
Gentoo,Biscoe,46.8,16.1,215,5500,male,2009,5633,TRUE,fair,FALSE,53
Gentoo,Biscoe,41.7,14.7,210,4700,female,2009,4654,TRUE,fair,FALSE,41
Gentoo,Biscoe,53.4,15.8,219,5500,male,2009,5191,TRUE,good,FALSE,50
Gentoo,Biscoe,43.3,14,208,4575,female,2009,4582,TRUE,good,FALSE,64
Gentoo,Biscoe,48.1,15.1,209,5500,male,2009,5348,TRUE,good,FALSE,45
Gentoo,Biscoe,50.5,15.2,216,5000,female,2009,4885,TRUE,good,FALSE,46
Gentoo,Biscoe,49.8,15.9,229,5950,male,2009,5781,TRUE,fair,TRUE,51
Gentoo,Biscoe,43.5,15.2,213,4650,female,2009,4350,TRUE,poor,FALSE,46
Gentoo,Biscoe,51.5,16.3,230,5500,male,2009,5443,TRUE,fair,FALSE,54
Gentoo,Biscoe,46.2,14.1,217,4375,female,2009,4106,TRUE,good,FALSE,64
Gentoo,Biscoe,55.1,16,230,5850,male,2009,5687,TRUE,good,FALSE,52
Gentoo,Biscoe,44.5,15.7,217,4875,NA,2009,4876,TRUE,poor,FALSE,49
Gentoo,Biscoe,48.8,16.2,222,6000,male,2009,5860,TRUE,good,FALSE,53
Gentoo,Biscoe,47.2,13.7,214,4925,female,2009,4922,FALSE,good,FALSE,61
Gentoo,Biscoe,NA,NA,NA,NA,NA,2009,4839,TRUE,good,FALSE,56
Gentoo,Biscoe,46.8,14.3,215,4850,female,2009,4634,TRUE,fair,FALSE,67
Gentoo,Biscoe,50.4,15.7,222,5750,male,2009,5564,TRUE,good,FALSE,49
Gentoo,Biscoe,45.2,14.8,212,5200,female,2009,4845,FALSE,poor,FALSE,42
Gentoo,Biscoe,49.9,16.1,213,5400,male,2009,5374,TRUE,poor,FALSE,53
Chinstrap,Dream,46.5,17.9,192,3500,female,2007,3309,TRUE,good,FALSE,98
Chinstrap,Dream,50,19.5,196,3900,male,2007,3742,FALSE,good,FALSE,85
Chinstrap,Dream,51.3,19.2,193,3650,male,2007,3524,FALSE,fair,FALSE,84
Chinstrap,Dream,45.4,18.7,188,3525,female,2007,3235,TRUE,good,TRUE,81
Chinstrap,Dream,52.7,19.8,197,3725,male,2007,3545,TRUE,good,FALSE,86
Chinstrap,Dream,45.2,17.8,198,3950,female,2007,3584,TRUE,good,FALSE,97
Chinstrap,Dream,46.1,18.2,178,3250,female,2007,3098,TRUE,good,FALSE,80
Chinstrap,Dream,51.3,18.2,197,3750,male,2007,3697,TRUE,good,FALSE,80
Chinstrap,Dream,46,18.9,195,4150,female,2007,4117,TRUE,fair,FALSE,83
Chinstrap,Dream,51.3,19.9,198,3700,male,2007,3575,TRUE,good,FALSE,86
Chinstrap,Dream,46.6,17.8,193,3800,female,2007,3853,FALSE,fair,FALSE,98
Chinstrap,Dream,51.7,20.3,194,3775,male,2007,3441,TRUE,good,FALSE,87
Chinstrap,Dream,47,17.3,185,3700,female,2007,3412,TRUE,good,FALSE,96
Chinstrap,Dream,52,18.1,201,4050,male,2007,4142,TRUE,fair,FALSE,99
Chinstrap,Dream,45.9,17.1,190,3575,female,2007,3526,TRUE,good,FALSE,96
Chinstrap,Dream,50.5,19.6,201,4050,male,2007,3685,FALSE,good,FALSE,85
Chinstrap,Dream,50.3,20,197,3300,male,2007,3104,TRUE,good,FALSE,87
Chinstrap,Dream,58,17.8,181,3700,female,2007,3722,TRUE,fair,TRUE,98
Chinstrap,Dream,46.4,18.6,190,3450,female,2007,3311,TRUE,fair,FALSE,81
Chinstrap,Dream,49.2,18.2,195,4400,male,2007,4515,TRUE,fair,FALSE,80
Chinstrap,Dream,42.4,17.3,181,3600,female,2007,3649,TRUE,good,FALSE,96
Chinstrap,Dream,48.5,17.5,191,3400,male,2007,3350,TRUE,good,FALSE,97
Chinstrap,Dream,43.2,16.6,187,2900,female,2007,2595,FALSE,good,FALSE,94
Chinstrap,Dream,50.6,19.4,193,3800,male,2007,3780,TRUE,good,FALSE,84
Chinstrap,Dream,46.7,17.9,195,3300,female,2007,3192,FALSE,good,FALSE,98
